id, x, y 
5765, 1.117, 0.619 
6345, 1.381, 2.775 
6347, 0.439, -2.133 
6346, 1.261, 2.394 
9429, 0.696, 1.230 
6186, 1.063, 0.533 
6185, 0.239, -0.098 
6184, 0.013, 1.346 
6183, 1.199, 0.062 
6182, 0.473, 0.759 
6180, 1.357, 0.173 
9421, 0.615, 0.636 
9422, 1.088, 0.582 
6189, 1.357, 0.173 
9426, 2.077, 0.169 
9353, 1.124, 0.620 
9600, 1.222, -0.662 
9350, -0.183, -0.354 
5281, 0.729, 0.677 
9608, 2.252, -0.747 
9359, -0.282, -0.122 
5282, 0.374, 0.634 
5285, -2.100, 0.478 
5284, -0.295, -0.526 
5287, -1.777, -0.001 
5286, -2.210, 0.592 
7236, 3.009, -0.473 
7237, 0.704, -0.075 
7234, 1.351, -1.396 
7235, 3.009, -0.473 
7232, 1.850, -0.962 
9194, 1.128, 0.607 
7230, 1.898, -0.917 
5048, 0.872, 0.720 
9199, -2.210, -0.784 
9198, -1.879, -0.230 
5044, 1.766, -0.961 
7948, -0.618, -0.144 
5041, 2.987, -1.165 
7239, 0.703, -0.093 
8998, -0.205, 0.399 
8999, 0.081, 0.551 
8992, -2.030, -0.396 
8993, -0.890, 0.667 
8990, -1.399, 0.470 
8991, -1.398, 0.190 
8996, -0.784, 0.564 
8997, -1.662, 0.153 
8994, -0.816, 0.600 
8995, -0.834, 0.783 
4996, 0.585, 3.078 
4997, 0.648, 1.949 
4994, -5.013, 0.203 
4995, 0.138, 1.714 
6239, 0.172, -1.200 
4993, 2.271, -0.561 
4990, -5.694, 1.482 
4991, -5.870, 1.607 
6235, 1.029, 0.212 
6234, 0.677, 0.346 
6237, 1.162, -0.087 
6236, 1.155, -0.007 
6231, 0.625, -1.382 
9518, 1.124, 0.620 
4998, 1.080, 0.643 
4999, 1.080, 0.643 
7591, -2.437, -1.044 
8982, -1.533, 0.218 
9024, 1.090, 0.629 
6517, 0.850, 0.055 
9771, 1.811, 2.607 
7003, 0.223, -1.213 
7302, -3.602, -0.153 
8867, -1.868, -0.778 
8864, -1.952, -0.718 
8865, -2.158, 0.089 
7306, 1.124, 0.620 
9288, -2.770, -0.222 
7304, 1.083, 0.220 
7305, 0.631, -1.874 
9285, -2.685, -0.465 
9284, -3.461, -0.222 
9287, -2.765, -0.392 
9286, -2.661, -0.266 
9281, -3.015, -0.048 
9280, -2.481, -0.195 
8868, -2.273, 0.079 
9282, -2.866, -1.114 
5461, 1.305, 2.311 
5460, 2.686, 6.365 
5463, 1.248, 2.263 
7046, 0.992, -0.002 
7041, 0.376, -1.174 
5464, 1.368, 2.429 
5467, 1.449, 3.904 
5466, 2.243, 6.704 
5469, 1.864, 4.836 
5468, 2.252, 5.087 
7048, 2.460, -0.065 
5267, 1.043, 0.526 
5266, 0.695, -0.255 
5265, 0.856, 0.187 
5264, 0.179, -0.362 
5263, 0.208, -0.261 
5262, 0.770, -0.766 
5261, -0.506, -0.468 
5260, 1.610, 0.113 
5268, 0.712, -0.305 
6405, 2.420, 0.423 
8609, 1.494, -0.998 
6989, 0.994, 0.067 
6988, 1.002, 0.142 
8600, 0.062, 0.486 
8606, 1.252, -0.779 
8607, 1.195, -1.100 
8604, -0.714, 0.547 
6980, 0.273, -1.216 
8739, 0.588, -1.176 
8737, 1.113, -0.748 
8734, 0.594, 0.029 
8735, 0.366, -1.459 
8988, -2.610, -1.064 
8733, 0.594, 0.029 
8730, 0.482, -0.082 
8731, 0.594, 0.029 
8040, 0.641, -1.858 
8041, 1.285, -0.633 
8042, -3.261, -0.470 
8043, 1.487, -0.014 
8044, -3.217, -0.527 
8513, 1.095, 0.606 
8046, 0.764, -1.294 
8049, 0.134, -0.249 
5670, -2.554, -0.356 
5671, -2.627, -0.374 
5672, -3.025, -0.449 
5673, -3.156, -0.575 
5674, -3.156, -0.575 
5675, -3.334, -0.533 
8280, 1.400, -0.048 
8281, 1.336, 0.391 
5678, -3.327, -0.533 
5679, -2.223, -0.063 
6240, 1.109, 0.454 
6503, 0.700, 0.399 
6501, 0.555, -0.919 
6500, -1.021, 2.868 
6505, 1.211, 0.580 
6504, 0.690, 0.391 
9254, -2.341, -0.379 
6437, -3.404, -0.419 
8190, 1.591, -1.266 
5708, -2.160, -0.061 
8197, -3.257, -0.460 
6431, 0.967, -0.382 
8195, -3.257, -0.460 
5704, -3.166, -0.572 
5705, -3.166, -0.572 
5706, -3.208, -0.542 
5707, -1.276, -0.073 
5701, -3.181, -0.564 
5702, -2.489, -0.312 
5703, -2.466, -0.316 
7559, 0.347, -0.448 
7558, 0.347, -0.447 
7557, 0.608, -1.508 
7556, -0.959, -1.009 
7554, 1.092, -0.565 
4776, -2.760, -1.040 
4775, 0.100, 0.519 
4772, 1.714, -1.391 
4773, 2.472, -1.084 
4770, -1.802, -0.020 
4771, -1.842, -0.264 
5072, -3.154, -0.583 
6753, 0.572, 0.333 
6750, 0.424, 0.265 
6751, 0.424, 0.265 
6756, 0.572, 0.333 
6757, 0.654, 0.381 
9942, 1.220, -1.625 
5819, 1.147, 0.701 
5811, 1.127, 0.618 
5812, 1.117, 0.626 
5813, 1.102, 0.635 
5815, 1.163, 1.341 
5064, -3.154, -0.583 
5217, -3.180, 0.712 
5148, 1.516, 2.926 
5924, 0.171, -1.700 
5925, 0.007, -2.060 
5926, 1.072, -0.087 
5927, 1.148, 0.246 
5922, -2.524, -0.132 
5923, -2.524, -0.132 
5297, 1.362, 2.291 
5928, 1.108, 0.565 
7828, -2.488, -0.821 
7823, 0.991, 1.014 
7822, -2.435, -0.460 
7820, -2.891, -0.940 
9006, -0.101, 0.484 
5452, -2.000, -0.205 
9368, 0.925, 0.214 
9369, 0.175, -0.774 
9005, -2.754, -0.629 
9178, -1.276, 0.233 
7071, 2.732, 5.763 
8985, -2.715, -0.705 
7220, 2.799, 3.323 
7223, 0.830, -0.561 
7954, -2.841, -1.117 
8981, 0.610, 0.485 
7224, -2.527, -0.113 
7227, 1.714, -0.757 
7950, -2.683, -0.712 
7229, -0.058, -1.391 
5073, 0.569, 0.895 
5070, -3.154, -0.583 
9167, 0.276, 0.571 
5076, -3.154, -0.583 
5077, -3.154, -0.583 
7959, -0.656, -0.126 
9163, 1.231, -1.166 
7969, 2.083, 0.344 
4981, -5.938, 1.573 
6249, 0.151, -1.033 
4983, -3.261, -0.678 
9563, -0.459, -2.003 
4985, 1.079, 0.643 
9565, -0.460, -2.002 
4987, -5.922, 1.622 
9567, -0.463, -1.987 
9568, -0.462, -1.985 
4988, -5.870, 1.607 
6243, 0.914, 1.100 
6245, 1.086, 0.553 
6246, 1.086, 0.553 
6247, 0.180, -1.192 
5380, 2.149, -1.254 
5381, 2.274, -0.962 
5382, 1.782, -0.438 
5383, 1.254, 0.488 
5384, 1.284, 0.320 
5385, 1.011, -0.195 
5386, 1.097, -0.024 
5387, 0.729, -0.506 
5388, 1.114, 0.484 
5389, 1.006, 0.219 
9709, 1.942, -0.615 
9702, 0.154, -1.848 
9703, 0.180, -1.795 
9706, 2.246, -0.184 
8871, 0.486, 0.559 
8870, -1.812, -0.669 
8873, 1.088, 0.631 
8872, 1.030, 0.202 
7319, 1.081, 0.614 
7318, 1.080, 0.615 
8876, 0.350, 0.451 
8879, -1.817, -0.677 
7314, 2.325, 0.569 
7317, 1.990, -0.577 
7316, 1.990, -0.577 
7310, 0.372, 2.390 
7313, 1.982, -0.551 
8163, 1.704, -2.035 
6977, 0.273, -1.216 
4878, 0.583, 0.370 
9014, -2.415, -0.793 
9015, -2.521, -0.904 
7032, 1.152, 0.581 
7033, 2.365, -1.737 
7034, 2.460, -0.065 
7035, -2.321, -1.651 
9012, -2.702, -1.000 
7037, -2.156, -1.504 
7038, -2.205, -1.417 
7039, -2.406, -1.404 
5497, 1.359, -4.120 
5490, -1.241, 0.044 
6699, 1.818, 4.173 
5492, -0.632, 0.139 
5493, -0.971, -0.052 
5252, 1.094, 0.355 
5253, 1.163, 0.431 
5251, 0.869, 0.249 
9380, 0.978, 0.168 
9383, 1.008, 0.152 
5258, -1.356, -0.419 
5259, 2.039, -0.123 
9388, 0.466, 0.598 
9389, 0.829, 0.456 
4978, -5.719, 1.492 
